Warehouse,Country,Region/State,Zip/Postal Code,Weight (and above),Method,Shipping Price
0,USA,CA,,135,1,0
0,USA,CA,,136,1,0
0,USA,CA,,137,1,0
0,USA,CA,,138,1,0
0,USA,CA,,139,1,0
0,USA,CA,,140,1,0
0,USA,CA,,141,1,0
0,USA,CA,,142,1,0
0,USA,CA,,143,1,0
0,USA,CA,,144,1,0
0,USA,CO,,1,1,9.99
0,USA,CO,,2,1,9.99
0,USA,CO,,3,1,9.99
0,USA,CO,,4,1,9.99
0,USA,CO,,5,1,9.99
0,USA,CO,,6,1,9.99
0,USA,CO,,7,1,9.99
0,USA,CO,,8,1,9.99
0,USA,CO,,9,1,9.99
0,USA,CO,,10,1,9.99
0,USA,CO,,11,1,9.99
0,USA,CO,,12,1,9.99
0,USA,CO,,13,1,9.99
0,USA,CO,,14,1,9.99
0,USA,CO,,15,1,9.99
0,USA,CO,,16,1,9.99
0,USA,CO,,17,1,9.99
0,USA,CO,,18,1,9.99
0,USA,CO,,19,1,9.99
0,USA,CO,,20,1,9.99
0,USA,CO,,21,1,9.99
0,USA,CO,,22,1,9.99
0,USA,CO,,23,1,9.99
0,USA,CO,,24,1,0
0,USA,CO,,25,1,0
0,USA,CO,,26,1,0
0,USA,CO,,27,1,0
0,USA,CO,,28,1,0
0,USA,CO,,29,1,0
0,USA,CO,,30,1,0
0,USA,CO,,31,1,0
0,USA,CO,,32,1,0
0,USA,CO,,33,1,0
0,USA,CO,,34,1,0
0,USA,CO,,35,1,0
0,USA,CO,,36,1,0
0,USA,CO,,37,1,0
0,USA,CO,,38,1,0
0,USA,CO,,39,1,0
0,USA,CO,,40,1,0
0,USA,CO,,41,1,0
0,USA,CO,,42,1,0
0,USA,CO,,43,1,0
0,USA,CO,,44,1,0
0,USA,CO,,45,1,0
0,USA,CO,,46,1,0
0,USA,CO,,47,1,0
0,USA,CO,,48,1,0
0,USA,CO,,49,1,0
0,USA,CO,,50,1,0
0,USA,CO,,51,1,0
0,USA,CO,,52,1,0
0,USA,CO,,53,1,0
0,USA,CO,,54,1,0
0,USA,CO,,55,1,0
0,USA,CO,,56,1,0
0,USA,CO,,57,1,0
0,USA,CO,,58,1,0
0,USA,CO,,59,1,0
0,USA,CO,,60,1,0
0,USA,CO,,61,1,0
0,USA,CO,,62,1,0
